Number,Type
1,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))))"
2,"Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())), Ent(), Wgb(Set(Usd(Set(Ent())))))"
3,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))))), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))))"
4,Set(Ent())
5,"Set(Act(), Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
6,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Wgb(Set(Usd(Set(Ent())))))))), Ent(), Wgb(Set(Usd(Set(Ent())))))"
7,"Set(Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
8,"Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Act())), Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Ent()),Set(Act())), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wgb(Set(Usd(Set(Ent())))))))), Wdf(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))))))),Set(Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Wgb(Set(Usd(Set(Ent())))))))), Ent(), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wgb(Set(Usd(Set(Ent())))))"
9,"Set(Usd(Set(Wgb(Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))), Wdf(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent()))))),Set(Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))))), Act(), Usd(Set(Wdf(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act()))),Set(Usd(Set(Ent())))), Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
10,"Set(Act(), Usd(Set(Ent())))"
11,"Set(Act(), Usd(Set(Wgb(Set(Usd(Set(Ent())))))), Usd(Set(Ent())), Usd(Set(Wgb(Set(Act())), Wdf(Set(Ent()),Set(Act())))))"
